"sp","bin","n_oc","mst","n_suitable","species_count"
"Brachiopoda Leptaena_ventricosa","Sandbian","2","14.0142784330839","12","70"
"Brachiopoda Rostricellula_sparsa","Sandbian","1",NA,"15","55"
"Brachiopoda Kiaeromena_harperi","Sandbian","1",NA,"12","70"
"Brachiopoda Sowerbyella_musculosa","Sandbian","1",NA,"12","65"
"Brachiopoda Onniella_broeggeri","Sandbian","2","19.7622711114916","12","58"
"Brachiopoda Palaeoglossa_attenuata","Sandbian","1",NA,"12","56"
"Brachiopoda Dalmanella_salopiensis","Sandbian","1",NA,"12","61"
"Brachiopoda Onniella_ostentata","Sandbian","1",NA,"12","57"
"Brachiopoda Bicuspina_subquadrata","Sandbian","1",NA,"12","69"
"Brachiopoda Petrocrania_dubia","Sandbian","1",NA,"12","64"
"Brachiopoda Platystrophia_caelata","Sandbian","1",NA,"12","54"
"Brachiopoda Caeroplecia_plicata","Sandbian","1",NA,"12","65"
"Brachiopoda Plectorthis_whitteryensis","Sandbian","1",NA,"12","56"
"Brachiopoda Orthambonites_exopunctata","Sandbian","1",NA,"12","59"
"Brachiopoda Whittardia_paradoxica","Sandbian","1",NA,"12","64"
"Brachiopoda Glyptorthis_viriosa","Sandbian","1",NA,"14","68"
"Brachiopoda Altaethyrella_otarica","Sandbian",NA,NA,NA,NA
"Brachiopoda Qilianotryma_suspectum","Sandbian",NA,NA,NA,NA
"Brachiopoda Paucicrura_oklahomensis","Sandbian","2","11.2249721603218","11","52"
"Brachiopoda Hesperorthis_rowlandi","Sandbian","2","11.2249721603218","11","53"
"Brachiopoda Tetraphalerella_neglecta","Sandbian","3","35.0682819544594","11","52"
"Brachiopoda Megamyonia_mankini","Sandbian","2","11.2249721603218","11","48"
"Brachiopoda Cremnorthis_parva","Sandbian",NA,NA,NA,NA
"Brachiopoda Leptestiina_oepiki","Sandbian",NA,NA,NA,NA
"Brachiopoda Skenidioides_costatus","Sandbian",NA,NA,NA,NA
"Brachiopoda Orthisocrania_divaricata","Sandbian",NA,NA,NA,NA
"Brachiopoda Lingulella_ovata","Sandbian",NA,NA,NA,NA
"Brachiopoda Scaphelasma_scutula","Sandbian",NA,NA,NA,NA
"Brachiopoda Anomaloglossa_porca","Sandbian",NA,NA,NA,NA
"Brachiopoda Hisingerella_hetera","Sandbian",NA,NA,NA,NA
"Brachiopoda Casquella_bifida","Sandbian",NA,NA,NA,NA
"Brachiopoda Mabella_conferta","Sandbian",NA,NA,NA,NA
"Brachiopoda Platystrophia_hopensis","Sandbian","3","14.9733095873958","11","53"
"Brachiopoda Zygospira_cincinnatiensis","Sandbian","1",NA,"11","53"
"Brachiopoda Sowerbyella_rugosa","Sandbian","2","17.8744189077217","11","51"
"Brachiopoda Heterorthina_fairmountensis","Sandbian","1",NA,"11","51"
"Brachiopoda Plectorthis_plicatella","Sandbian","1",NA,"11","52"
"Brachiopoda Strophomena_maysvillensis","Sandbian","1",NA,"11","53"
"Brachiopoda Sowerbyella_curdsvillensis","Sandbian",NA,NA,NA,NA
"Brachiopoda Dalmanella_fertilis","Sandbian",NA,NA,NA,NA
"Brachiopoda Dalmanella_bassleri","Sandbian","1",NA,"11","53"
"Brachiopoda Eoplectodonta_abigailae","Sandbian","3","16.9040653584976","12","65"
"Brachiopoda Dolerorthis_intercostata","Sandbian","1",NA,"12","67"
"Brachiopoda Leptestiina_prantli","Sandbian",NA,NA,NA,NA
"Brachiopoda Foliomena_folium","Sandbian","1",NA,"12","69"
